Id,Label,Group,Attribute
759,test,word,54
760,technique,word,66
761,color,word,16
762,detect,word,30
763,presence,word,68
764,formaldehyde,word,222
765,solution,word,46
766,turn,word,31
767,introduce,word,52
768,opium,word,156
769,plasma,word,58
770,intoxicated,word,10
771,victim,word,45
772,spectrometry,word,5
773,sample,word,14
774,spot,word,9
775,reagent,word,7
776,principle,word,21
777,reduction,word,57
778,oppose,word,22
779,prepare,word,15
780,hair,word,23
781,abraham,word,5
782,head,word,53
783,dilute,word,8
784,water,word,93
785,research,word,182
786,false,word,9
787,positive,word,39
788,specificity,word,9
789,class,word,55
790,synthesis,word,83
791,accomplish,word,8
792,literature,word,23
793,gupta,word,6
794,original,word,39
795,patent,word,37
796,feedstock,word,8
797,reaction,word,95
798,chloride,word,25
799,early,word,222
800,foreign,word,40
801,clandestine,word,8
802,impurity,word,5
803,temporary,word,20
804,half,word,46
805,predominant,word,6
806,seize,word,14
807,describe,word,93
808,continuous,word,30
809,flow,word,19
810,similar,word,90
811,one,word,23
812,total,word,76
813,favor,word,5
814,create,word,61
815,ring,word,108
816,belgium,word,9
817,label,word,26
818,newly,word,15
819,develop,word,154
820,pethidine,word,105
821,activity,word,143
822,salt,word,44
823,ratio,word,35
824,enter,word,50
825,anaesthetic,word,8
826,mid,word,12
827,trial,word,75
828,formulation,word,56
829,gel,word,13
830,select,word,22
831,wear,word,30
832,set,word,60
833,successful,word,17
834,practice,word,120
835,formation,word,40
836,soluble,word,14
837,film,word,65
838,polymer,word,8
839,apply,word,34
840,inner,word,7
841,lining,word,7
842,administrative,word,10
843,code,word,47
844,acscn,word,11
845,annual,word,71
846,aggregate,word,8
847,manufacturing,word,28
848,quota,word,12
849,significantly,word,53
850,recent,word,54
851,nearly,word,29
852,classify,word,43
853,netherland,word,7
854,law,word,162
855,schedule,word,51
856,implement,word,24
857,evaluation,word,15
858,strategy,word,25
859,program,word,105
860,order,word,86
861,curb,word,5
862,insurer,word,17
863,andor,word,42
864,limit,word,47
865,consider,word,108
866,estonia,word,11
867,home,word,120
868,document,word,18
869,taliban,word,552
870,ban,word,111
871,poppy,word,34
872,cultivation,word,22
873,guardian,word,7
874,supplier,word,5
875,dark,word,18
876,web,word,6
877,voluntarily,word,11
878,trafficking,word,85
879,dispute,word,11
880,mexican,word,30
881,government,word,254
882,blame,word,5
883,border,word,75
884,asia,word,39
885,lack,word,68
886,value,word,35
887,present,word,80
888,you,word,23
889,identify,word,41
890,february,word,40
891,medically,word,10
892,valid,word,8
893,classification,word,21
894,hundred,word,11
895,orally,word,25
896,smoke,word,16
897,inject,word,44
898,initially,word,31
899,recreational,word,49
900,largely,word,34
901,methylfentanyl,word,9
902,black,word,74
903,divert,word,5
904,legitimate,word,19
905,supply,word,50
906,inside,word,37
907,street,word,69
908,pharmacy,word,31
909,retail,word,32
910,price,word,50
911,unit,word,66
912,strength,word,21
913,attorney,word,21
914,pennsylvania,word,18
915,launch,word,38
916,diversion,word,8
917,sale,word,89
918,nonmedical,word,8
919,tolerance,word,83
920,numerous,word,38
921,antagonist,word,95
922,increasingly,word,21
923,repeat,word,24
924,pure,word,20
925,mix,word,9
926,compensate,word,6
927,illegally,word,35
928,outbreak,word,28
929,heavily,word,14
930,city,word,504
931,ohio,word,13
932,chicago,word,684
933,illinois,word,57
934,michigan,word,32
935,philadelphia,word,31
936,november,word,40
937,operation,word,53
938,height,word,6
939,appearance,word,19
940,distribute,word,14
941,location,word,59
942,course,word,68
943,accuse,word,13
944,own,word,16
945,press,word,36
946,seizure,word,23
947,custom,word,14
948,protection,word,41
949,arizona,word,9
950,worth,word,7
951,floor,word,8
952,truck,word,10
953,white,word,64
954,refer,word,83
955,department,word,78
956,justice,word,53
957,publication,word,38
958,motivation,word,9
959,difficulty,word,22
960,resistant,word,16
961,metabolic,word,31
962,degradation,word,9
963,prevention,word,56
964,island,word,60
965,license,word,33
966,conduct,word,42
967,suspect,word,17
968,originate,word,14
969,authority,word,65
970,coast,word,69
971,organize,word,25
972,trace,word,9
973,implicate,word,12
974,walk,word,15
975,homeless,word,11
976,parent,word,26
977,rush,word,24
978,review,word,85
979,prescriptiononly,word,7
980,effort,word,40
981,global,word,92
982,news,word,38
983,allegation,word,5
984,diplomatic,word,6
985,tension,word,8
986,cooperation,word,13
987,discover,word,36
988,australia,word,36
989,zealand,word,22
990,availability,word,28
991,entire,word,24
992,principal,word,15
993,origin,word,22
994,cartel,word,37
995,chinese,word,38
996,finish,word,12
997,visit,word,21
998,taiwan,word,28
999,halt,word,10
1000,possible,word,50
1001,nigeria,word,5
1002,south,word,129
1003,africa,word,29
1004,indonesia,word,10
1005,military,word,71
1006,confiscate,word,5
1007,methyl,word,14
1008,derivative,word,57
1009,drop,word,38
1010,burma,word,8
1011,region,word,165
1012,expand,word,44
1013,california,word,20
1014,union,word,80
1015,director,word,19
1016,charge,word,36
1017,tapentadol,word,9
1018,slow,word,29
1019,washington,word,79
1020,post,word,33
1021,archive,word,11
1022,shipment,word,6
1023,stop,word,38
1024,final,word,35
1025,previously,word,32
1026,environment,word,42
1027,relate,word,15
1028,likely,word,64
1029,legal,word,74
1030,conviction,word,5
1031,sinaloa,word,8
1032,connection,word,24
1033,illegal,word,94
1034,arm,word,14
1035,smuggling,word,79
1036,repeatedly,word,5
1037,gun,word,14
1038,purchase,word,41
1039,example,word,145
1040,wisconsin,word,5
1041,alaska,word,23
1042,intelligence,word,15
1043,transport,word,50
1044,territory,word,44
1045,courier,word,12
1046,finance,word,20
1047,engage,word,31
1048,money,word,36
1049,laundering,word,5
1050,mcg,word,9
1051,expensive,word,8
1052,injectable,word,8
1053,australian,word,12
1054,institute,word,57
1055,microgram,word,10
1056,gram,word,33
1057,offer,word,50
1058,addition,word,76
1059,listing,word,6
1060,wholesale,word,6
1061,harmful,word,19
1062,children,word,84
1063,cabinet,word,7
1064,environmental,word,21
1065,flush,word,7
1066,pharmacist,word,16
1067,seal,word,9
1068,container,word,9
1069,return,word,40
1070,sure,word,5
1071,remove,word,46
1072,ingestion,word,25
1073,intend,word,28
1074,august,word,41
1075,execute,word,44
1076,prisoner,word,17
1077,dean,word,7
1078,row,word,13
1079,inmate,word,11
1080,receive,word,91
1081,injection,word,116
1082,series,word,45
1083,render,word,12
1084,unconscious,word,13
1085,relaxant,word,5
1086,execution,word,187
1087,penalty,word,277
1088,protest,word,11
1089,advocate,word,10
1090,prison,word,35
1091,russian,word,41
1092,security,word,26
1093,force,word,140
1094,incapacitate,word,8
1095,moscow,word,5
1096,theater,word,32
1097,end,word,94
1098,gas,word,47
1099,severely,word,8
1100,tax,word,64
1101,minister,word,36
1102,clearly,word,6
1103,recall,word,13
1104,lot,word,12
1105,breach,word,10
1106,leak,word,14
1107,initiate,word,18
1108,corporation,word,16
1109,provider,word,51
1110,usa,word,8
1111,miss,word,9
1112,safety,word,62
1113,properly,word,13
1114,consumer,word,21
1115,stress,word,14
1116,component,word,24
1117,vomit,word,11
1118,infusion,word,14
1119,dysphoria,word,5
1120,popular,word,62
1121,usually,word,117
1122,offlabel,word,6
1123,mgml,word,6
1124,application,word,32
1125,specie,word,44
1126,europe,word,96
1127,surgeries,word,7
1128,activating,word,7
1129,opioid receptors,word,46
1130,sold,word,47
1131,adverse effects,word,22
1132,opioids,word,156
1133,narcotics,word,11
1134,respiratory depression,bigram,4
1135,hallucinations,word,8
1136,drugs,word,155
1137,side effects,word,63
1138,effects,word,80
1139,opioid overdose,word,8
1140,synthesized,word,32
1141,medical use,bigram,2
1142,states,word,434
1143,synthetic opioid,word,9
1144,prescribed,word,40
1145,prescriptions,word,9
1146,health organizations,word,15
1147,essential medicines,word,15
1148,deaths,word,50
1149,increased,word,139
1150,analogues,word,13
1151,drug overdose,word,6
1152,ingested,word,8
1153,pills,word,6
1154,overdoses,word,11
1155,labs,word,7
1156,procedures,word,9
1157,pain relief,word,20
1158,persons,word,30
1159,responses,word,10
1160,heart rate,word,5
1161,faster,word,5
1162,reduces,word,13
1163,high doses,word,10
1164,doses,word,77
1165,patients,word,135
1166,severe pain,word,8
1167,tolerated,word,11
1168,tablets,word,31
1169,chronic pain,word,19
1170,patches,word,5
1171,changed,word,5
1172,factors,word,25
1173,rates,word,33
1174,route of administration,word,8
1175,fentanyl patches,word,6
1176,neuropathic pain,word,10
1177,absorbed,word,19
1178,cancer pain,word,6
1179,palliative care,word,11
1180,sources,word,27
1181,complications,word,45
1182,reducing,word,33
1183,treated with,word,17
1184,fentanyl citrate,word,5
1185,higher,word,59
1186,urinary retention,word,5
1187,associated with,word,114
1188,cases,word,91
1189,serotonin syndrome,word,5
1190,studies,word,53
1191,drug administration,word,16
1192,doctors,word,22
1193,united kingdom,word,29
1194,died,word,16
1195,decreased,word,41
1196,carbon dioxide,word,11
1197,reduced,word,43
1198,secured,word,6
1199,groups,word,29
1200,fentanyl overdoses,word,6
1201,administered,word,81
1202,prevented,word,10
1203,treated,word,15
1204,activates,word,5
1205,reports,word,16
1206,side effect,word,8
1207,notes,word,5
1208,falls,word,13
1209,mental health,word,9
1210,compared,word,18
1211,humans,word,41
1212,greater,word,12
1213,fatalities,word,5
1214,dosages,word,13
1215,medicines,word,21
1216,fentanyl overdose,word,5
1217,analogs,word,10
1218,years,word,140
1219,increases,word,40
1220,public health,word,18
1221,british columbia,word,95
1222,manufactured,word,13
1223,benzodiazepines,word,18
1224,trafficked,word,7
1225,rats,word,19
1226,cats,word,8
1227,dogs,word,10
1228,mice,word,10
1229,intravenous administration,word,8
1230,oral administration,word,12
1231,nations office,word,14
1232,users,word,34
1233,opiates,word,11
1234,adolescents,word,10
1235,north america,word,21
1236,stories,word,10
1237,officers,word,13
1238,quantities,word,8
1239,concentrations,word,22
1240,symptoms,word,63
1241,expressed,word,20
1242,experts,word,8
1243,centers,word,10
1244,members,word,39
1245,measures,word,13
1246,months,word,33
1247,recommended,word,6
1248,actions,word,27
1249,drug enforcement,word,6
1250,structures,word,14
1251,modifications,word,7
1252,central nervous system,word,11
1253,positions,word,8
1254,animals,word,36
1255,receptors,word,14
1256,binds,word,15
1257,inhibits,word,14
1258,changing,word,9
1259,decreasing,word,19
1260,receptor agonist,bigram,4
1261,measured,word,11
1262,victims,word,17
1263,detected,word,10
1264,tested,word,12
1265,methods,word,15
1266,compounds,word,24
1267,intermediates,word,5
1268,clinical trials,word,17
1269,subjects,word,8
1270,controlled,word,19
1271,controlled substance,word,8
1272,limits,word,5
1273,substances,word,32
1274,worlds,word,46
1275,documented,word,9
1276,opium poppy,word,11
1277,"afghanistan
 ",word,7
1278,governments,word,18
1279,officials,word,18
1280,mids,word,7
1281,identified,word,17
1282,injected,word,21
1283,streets,word,8
1284,ranges,word,12
1285,investigations,word,8
1286,individuals,word,57
1287,effects of,word,17
1288,cities,word,50
1289,agencies,word,7
1290,distributed,word,5
1291,accused,word,10
1292,ordered,word,9
1293,customs,word,9
1294,schedule i,word,5
1295,disease control,word,7
1296,prevention cdc,word,5
1297,licensed,word,21
1298,suspected,word,14
1299,authorities,word,10
1300,imported,word,8
1301,parents,word,14
1302,cartels,word,9
1303,smuggled,word,12
1304,drug trafficking,word,6
1305,networks,word,9
1306,countries,word,153
1307,regions,word,20
1308,charged,word,7
1309,federal government,word,7
1310,products,word,12
1311,purchased,word,7
1312,transported,word,9
1313,grams,word,5
1314,medications,word,45
1315,misused,word,7
1316,pharmacists,word,6
1317,inmates,word,6
1318,lethal injection,word,7
1319,potassium chloride,word,6
1320,days,word,63
1321,health care providers,word,6
1322,species,word,29
1323,specialized,word,13
1324,headquartered,word,13
1325,geneva,word,6
1326,switzerland,word,15
1327,regional,word,63
1328,field,word,46
1329,worldwide,word,51
1330,participate,word,25
1331,international,word,234
1332,purpose,word,36
1333,achieve,word,24
1334,define,word,61
1335,wellbeing,word,9
1336,absence,word,18
1337,function,word,114
1338,promote,word,56
1339,improve,word,84
1340,teaching,word,10
1341,training,word,68
1342,matter,word,33
1343,establishment,word,19
1344,standard,word,87
1345,biological,word,15
1346,establish,word,87
1347,formally,word,9
1348,incorporate,word,17
1349,asset,word,9
1350,personnel,word,30
1351,duty,word,27
1352,league,word,80
1353,agencys,word,6
1354,financial,word,33
1355,technical,word,21
1356,resource,word,28
1357,mandate,word,13
1358,vulnerable,word,7
1359,assistance,word,20
1360,collect,word,14
1361,datum,word,68
1362,serve,word,65
1363,forum,word,8
1364,policy,word,85
1365,discussion,word,15
1366,assessment,word,34
1367,topic,word,8
1368,play,word,84
1369,achievement,word,12
1370,notably,word,26
1371,eradication,word,20
1372,smallpox,word,23
1373,polio,word,23
1374,ebola,word,9
1375,vaccine,word,20
1376,current,word,42
1377,priority,word,7
1378,hivaid,word,12
1379,malaria,word,29
1380,tuberculosis,word,40
1381,healthy,word,24
1382,diet,word,23
1383,nutrition,word,12
1384,universal,word,15
1385,engagement,word,11
1386,monitoring,word,15
1387,coordinate,word,17
1388,govern,word,18
1389,assembly,word,76
1390,wha,word,8
1391,compose,word,13
1392,elect,word,44
1393,executive,word,43
1394,board,word,49
1395,specialist,word,15
1396,chief,word,29
1397,administrator,word,8
1398,directorgeneral,word,18
1399,currently,word,31
1400,adhanom,word,5
1401,ghebreyesus,word,5
1402,budget,word,48
1403,fund,word,39
1404,contribution,word,21
1405,assess,word,22
1406,voluntary,word,23
1407,private,word,46
1408,donor,word,15
1409,billion,word,37
1410,sanitary,word,11
